id,name,country,primary_subfield,total_publications,Artificial Intelligence,Computational Theory and Mathematics,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Science Applications,Computer Vision and Pattern Recognition,Hardware and Architecture,Human-Computer Interaction,Information Systems,Signal Processing,Software
A5026181276,Rodrigo Burgos,BR,Computer Vision and Pattern Recognition,4,0,0,0,0,0,4,0,0,0,0,0
A5089753822,Marco Antônio Cetale Santos,BR,Computer Vision and Pattern Recognition,3,0,0,0,0,0,3,0,0,0,0,0
A5040683610,Fernando R. Almeida,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5113782178,Leonardo P. Rauta,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5020728439,Paulo H. Da Silva,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5100774337,Rodrigo Costa da Silva,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5031469203,Massimo Gallo,FR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5027897614,Edemar Mendes Perciani,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5100808631,A. H. A. SANTOS,BR,Computer Vision and Pattern Recognition,2,0,0,0,0,0,2,0,0,0,0,0
A5024428990,Roque Luiz da Silva Pitangueira,BR,Computer Vision and Pattern Recognition,3,0,1,0,0,0,2,0,0,0,0,0
A5109884063,G. O. RIBEIRO,BR,Computer Vision and Pattern Recognition,2,0,0,0,0,0,2,0,0,0,0,0
A5058281409,Edgar Vladimiro Mantilla Carrasco,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5037886885,Romulo M. Souza,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5027672442,Bruno Rafael B. Lima,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5037054850,Annalisa Socievole,IT,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5075581736,Floriano De Rango,IT,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5048383825,Ludimila La Rosa Centeno,BR,Computer Networks and Communications,2,0,0,0,2,0,0,0,0,0,0,0
A5007832989,Sandro Machado Ribeiro,BR,Computer Networks and Communications,2,0,0,0,2,0,0,0,0,0,0,0
A5058971547,Dionathan Nakamura,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5000489917,Hugo Gonçalo Oliveira,PT,Artificial Intelligence,2,2,0,0,0,0,0,0,0,0,0,0
A5072544870,Alberto Simões,PT,Artificial Intelligence,3,3,0,0,0,0,0,0,0,0,0,0
A5068464556,Estella G. da Mota,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5005803276,Ana Beatriz Silva Sousa,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5109340338,L.K.P. Oliveira,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5058603408,Juliana Lemos Schneid,BR,Information Systems,2,0,0,0,0,0,0,0,0,2,0,0
A5072166681,Inaiane Marlisse de Carvalho,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5033226762,Dayana Kelly Soares Ferreira,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5000942989,Ana Raquel Cortês Nelson,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5056151345,Fernando Hiago da Silva Duarte,BR,Information Systems,2,0,0,0,0,0,0,0,0,2,0,0
A5059392147,Nanete Caroline da Costa Prado,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5004399169,Juliano Koji Yugoshi,BR,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5054363087,Willian T. Lunardi,BR,Computer Networks and Communications,3,0,0,0,3,0,0,0,0,0,0,0
A5036030915,Leonardo Amaral,BR,Computer Networks and Communications,2,0,0,0,2,0,0,0,0,0,0,0
A5049772606,Holger Voos,LU,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5018685135,Watson Loh,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5071062505,Paulo C. Vieira,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5071233329,Ademir Aparecido Constantino,BR,Computer Networks and Communications,3,0,0,0,2,0,1,0,0,0,0,0
A5102859081,Maurício Figueiredo,BR,Computer Networks and Communications,2,0,0,0,1,0,1,0,0,0,0,0
A5084435704,Fabio de Paula Santos,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5006348153,Carla Pineda Lechugo,BR,Computer Science Applications,2,0,0,0,0,2,0,0,0,0,0,0
A5057590918,Ismar Frango Silveira-Mackenzie,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5031528905,Lucas Jordani,BR,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5065669431,Alexandre N. Delbem,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
